latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.26363,-66.62994,305.23,0.49,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.51,0.77,N
8.26442,-66.63442,304.76,0.49,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.51,0.77,N
8.31462,-66.65784,314.82,0.49,0.49,2025-01-18,622,N,VIIRS,n,2.0NRT,292.53,1.61,N
8.38089,-64.09161,306.32,0.36,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.02,0.63,N
8.3862,-64.09063,308.76,0.36,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.54,0.63,N
8.38861,-64.10397,302.02,0.36,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.01,0.51,N
8.39009,-64.3219,307.4,0.35,0.57,2025-01-18,622,N,VIIRS,n,2.0NRT,291.46,0.58,N
8.44325,-64.84315,305.72,0.32,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.1,0.32,N
8.48564,-67.32962,340.98,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.67,12.97,N
8.48634,-67.33363,338.77,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,294.42,16.06,N
8.4892,-67.32487,347.5,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,293.82,12.97,N
8.4899,-67.32888,367,0.44,0.46,2025-01-18,622,N,VIIRS,h,2.0NRT,296.88,12.97,N
8.49276,-67.32012,340.09,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.77,2.9,N
8.49346,-67.32413,344.04,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,294.01,8.13,N
8.49373,-65.98669,307.8,0.54,0.51,2025-01-18,622,N,VIIRS,n,2.0NRT,292.22,0.98,N
8.49633,-67.31536,322.97,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.23,2.9,N
8.49702,-67.31937,316.11,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.75,2.9,N
8.50129,-67.31863,311.55,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.76,1.84,N
8.50485,-67.31387,314.84,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.53,1.84,N
8.50842,-67.30911,303.08,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.16,0.93,N
8.51625,-67.3036,316.15,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,291.98,1.4,N
8.52122,-63.61747,316.24,0.39,0.59,2025-01-18,622,N,VIIRS,n,2.0NRT,290.92,2.19,N
